Category,Parameter,Value,Unit,Architecture,Phase,Notes / Formula
Labor Productivity (AC),Megger/insulation testing,12,hrs,Class 1 AC,Phase 6,"Scope-verified (was 2.5 hrs)"
Labor Productivity (AC),Closeout and handoff,18,hrs,Class 1 AC,Phase 6,"As-builts, O&M, training (scope-verified)"
Labor Productivity (AC),Punchlist corrections,16,hrs,Class 1 AC,Phase 6,"Final walk and corrections (scope-verified)"
,,,,,,
Labor Productivity (CL2),Design - base hours,4,hrs,Class 2 DC,Phase 1,"Formula: 4 + runs * 0.4"
Labor Productivity (CL2),Design - run adder,0.4,hrs/run,Class 2 DC,Phase 1,
Labor Productivity (CL2),Permitting - base hours,3,hrs,Class 2 DC,Phase 2,"Formula: 3 + distanceFt/1200"
Labor Productivity (CL2),Permitting - distance adder,1/1200,hrs/ft,Class 2 DC,Phase 2,
Labor Productivity (CL2),J-hook install rate,1/110,hrs/ft,Class 2 DC,Phase 3,~110 ft per hour
Labor Productivity (CL2),Equipment install rate,0.25,hrs/injector,Class 2 DC,Phase 4,Per injector unit
Labor Productivity (CL2),Cable pull rate,1/110,hrs/ft,Class 2 DC,Phase 5,~110 ft per hour
Labor Productivity (CL2),Termination - base hours,1.5,hrs,Class 2 DC,Phase 5,"Formula: 1.5 + runs * 0.3"
Labor Productivity (CL2),Termination - run adder,0.3,hrs/run,Class 2 DC,Phase 5,
Labor Productivity (CL2),Testing - base hours,2,hrs,Class 2 DC,Phase 6,"Formula: 2 + runs * 0.15"
Labor Productivity (CL2),Testing - run adder,0.15,hrs/run,Class 2 DC,Phase 6,
Labor Productivity (CL2),Closeout (fixed),1.8,hrs,Class 2 DC,Phase 6,
,,,,,,
Labor Productivity (CL4),Design - base hours,5,hrs,Class 4 FMP,Phase 1,"Formula: 5 + distanceFt/600"
Labor Productivity (CL4),Design - distance adder,1/600,hrs/ft,Class 4 FMP,Phase 1,
Labor Productivity (CL4),Permitting (fixed),3.5,hrs,Class 4 FMP,Phase 2,
Labor Productivity (CL4),Pathway install rate,1/140,hrs/ft,Class 4 FMP,Phase 3,~140 ft per hour
Labor Productivity (CL4),Equipment install (fixed),2.5,hrs,Class 4 FMP,Phase 4,Head-end + receiver setup
Labor Productivity (CL4),CL4 cable install rate,1/110,hrs/ft,Class 4 FMP,Phase 5,~110 ft per hour
Labor Productivity (CL4),Fiber install rate,1/110,hrs/ft,Class 4 FMP,Phase 5,~110 ft per hour
Labor Productivity (CL4),Testing - base hours,2,hrs,Class 4 FMP,Phase 6,"Formula: 2 + channels * 0.8"
Labor Productivity (CL4),Testing - channel adder,0.8,hrs/channel,Class 4 FMP,Phase 6,
Labor Productivity (CL4),Closeout (fixed),2,hrs,Class 4 FMP,Phase 6,
,,,,,,
Routing Multipliers,Indoor (baseline),1.00,multiplier,All,Phases 3 & 5 only,No additional adjustment
Routing Multipliers,Outdoor (base),1.35,multiplier,All,Phases 3 & 5 only,Requires more protection
Routing Multipliers,Mixed (base),1.15,multiplier,All,Phases 3 & 5 only,Indoor+outdoor complexity
Routing Multipliers,IDF/Conduit (indoor),1.00,multiplier,All,Phases 3 & 5 only,"Baseline indoor routing; only applied when installType=indoor or mixed"
Routing Multipliers,Plenum Space (indoor),1.20,multiplier,All,Phases 3 & 5 only,"Plenum-rated materials more expensive; only applied when installType=indoor or mixed"
Routing Multipliers,Open Cable Tray (indoor),0.85,multiplier,All,Phases 3 & 5 only,"Less material and labor; only applied when installType=indoor or mixed"
Routing Multipliers,J-Hooks on Beam (indoor),0.90,multiplier,All,Phases 3 & 5 only,"Reduced pathway material; only applied when installType=indoor or mixed"
Routing Multipliers,Surface Mount (indoor),0.80,multiplier,All,Phases 3 & 5 only,"Simplest pathway; only applied when installType=indoor or mixed"
Routing Multipliers,Direct Bury (outdoor),1.25,multiplier,All,Phases 3 & 5 only,"Trenching costs; only applied when installType=outdoor or mixed"
Routing Multipliers,Conduit Buried (outdoor),1.40,multiplier,All,Phases 3 & 5 only,"Trenching + conduit; only applied when installType=outdoor or mixed"
Routing Multipliers,Aerial/Pole-Mount (outdoor),0.95,multiplier,All,Phases 3 & 5 only,"Lower cost if poles exist; only applied when installType=outdoor or mixed"
Routing Multipliers,Wall Mount (outdoor),1.00,multiplier,All,Phases 3 & 5 only,"Baseline outdoor wall; only applied when installType=outdoor or mixed"
Routing Multipliers,Underground Duct (outdoor),1.50,multiplier,All,Phases 3 & 5 only,"Most expensive outdoor method; only applied when installType=outdoor or mixed"
Routing Multipliers,Architecture reduction (CL2/CL4),50%,of delta,Class 2 + Class 4,Phases 3 & 5,"CL2/CL4 get half the routing adjustment since they don't use heavy conduit"
,,,,,,
End Device Multipliers,Network Switch,1.10,multiplier,All,Phase 4 only,Additional integration effort (scoped to equipment phase)
End Device Multipliers,Media Converter,1.05,multiplier,All,Phase 4 only,Moderate integration (scoped to equipment phase)
End Device Multipliers,Direct to Device,1.00,multiplier,All,Phase 4 only,Baseline - no extra hardware
,,,,,,
Fit/Suitability Rules,AC strong fit,"distanceFt ≤ 75 OR powerW > 4000",,Class 1 AC,Assessment,Short distance or very high power
Fit/Suitability Rules,AC warning,"distanceFt > 75 AND powerW ≤ 4000",,Class 1 AC,Assessment,Higher cost/time as distance grows
Fit/Suitability Rules,CL2 strong fit,"powerW ≤ 100 AND distanceFt ≤ 300",,Class 2 DC,Assessment,Best for low-power and shorter spans
Fit/Suitability Rules,CL2 warning,"powerW > 100 OR distanceFt > 300",,Class 2 DC,Assessment,Parallel runs increase cost at higher loads
Fit/Suitability Rules,CL4 strong fit,powerW ≤ 4500,,Class 4 FMP,Assessment,Strong fit for medium-to-high power over long runs
Fit/Suitability Rules,CL4 warning,powerW > 4500,,Class 4 FMP,Assessment,Above 4.5 kW may require AC architecture
,,,,,,
Input Constraints,Power minimum,10,W,All,Input,User input lower bound
Input Constraints,Power maximum,15000,W,All,Input,User input upper bound (raised to allow full buildout tier >10kW)
Input Constraints,Distance minimum,25,ft,All,Input,User input lower bound
Input Constraints,Distance maximum,5000,ft,All,Input,User input upper bound
Input Constraints,Crew size minimum,1,persons,All,Input,
Input Constraints,Crew size maximum,20,persons,All,Input,
Input Constraints,Labor rate minimum,10,$/hr,All,Input,
Input Constraints,Labor rate maximum,250,$/hr,All,Input,
,,,,,,
Assumptions,Single-site comparison,1,site,All,All,All costs are for one site deployment
Assumptions,Design phases are sequential,1 person,,All,Phases 1-2,Not parallelized by crew
Assumptions,Install phases parallelized by crew,crewSize,,All,Phases 3-6,Days = hours / 8 / crewSize
Assumptions,Routing multipliers scoped to phases 3 & 5,phase-specific,,All,Phases 3 & 5,"Only pathway and cable phases get routing adjustment, not design/permitting/commissioning"
Assumptions,End device multiplier scoped to phase 4,phase-specific,,All,Phase 4,"Only equipment phase gets end device adjustment"
Assumptions,CL2/CL4 get reduced routing multiplier,50% of delta,,Class 2 + Class 4,Phases 3 & 5,"Since they don't use heavy conduit, they get half the routing penalty"
Assumptions,Transformer required when powerW > 10000 OR distanceFt > 325,conditional,,Class 1 AC,Phase 4,"Full buildout tier: transformer + new panels + feeder breaker"
Assumptions,Simple tier: distanceFt < 260 AND powerW < 2000,conditional,,Class 1 AC,All,"Conduit + single receptacle only; no panels, no transformer, reduced design/testing"
Assumptions,Standard tier: between simple and full,conditional,,Class 1 AC,Phase 4,"Breaker in existing panel only; no new panel or transformer"
Assumptions,Full buildout tier: powerW > 10000 OR distanceFt > 325,conditional,,Class 1 AC,Phase 4,"New panelboard + dry-type transformer + feeder breaker in MER"
Assumptions,No contingency/markup included,0,%,All,All,Costs are base estimates without margin
Assumptions,No sales tax included,0,%,All,All,
Assumptions,Single revision cycle assumed,1,cycle,All,Phase 1,Design revisions
,,,,,,
,,,,,,
Scope Reference (AC Full Buildout),,,,,,Source: MEP Design Line Item SoW — Full tenant floor AC scope (for validation reference)
Scope Reference (AC Full Buildout),Row 11: Permit fees (allowance),500,$ (lot),Class 1 AC,Phase 2,"Allowance / benchmark — used directly in tool"
Scope Reference (AC Full Buildout),Row 13: Feeder breaker in MER gear,2500,$/ea,Class 1 AC,Phase 4,"Allowance / benchmark — used directly in tool"
Scope Reference (AC Full Buildout),"Row 14: Feeder conduit from MER (4"" EMT/IMC)",18,$/ft,Class 1 AC,Phase 3,"174ft scope qty; tool uses power-scaled conduit rate ($0.90–$18.00/ft)"
Scope Reference (AC Full Buildout),Row 15: Feeder conductors (3P+N+G) in feeder conduit,18,"$/ft (L&M combined)",Class 1 AC,Phase 5,"174ft scope qty; tool separates material (AWG-based) from labor (0.12 hrs/ft)"
Scope Reference (AC Full Buildout),Row 16: Pull boxes / junction cabinets,250,$/ea,Class 1 AC,Phase 3,"4ea in scope; tool uses ceil(conduitFt/100)-1"
Scope Reference (AC Full Buildout),Row 17: Core drill penetrations,50,$/ea,Class 1 AC,Phase 3,"6ea in scope; tool combines with Row 18 as $75/ea"
Scope Reference (AC Full Buildout),Row 18: Firestop penetrations (UL listed),25,$/ea,Class 1 AC,Phase 3,"6ea in scope; combined with Row 17 as $75/ea"
Scope Reference (AC Full Buildout),Row 21: Grounding and bonding for feeder/conduit,200,$ (lot),Class 1 AC,Phase 3,"Used directly in tool"
Scope Reference (AC Full Buildout),Row 22: Label feeder/pull boxes/panels per standard,250,$ (lot),Class 1 AC,Phase 5,"Used directly in tool"
Scope Reference (AC Full Buildout),Row 24: Main panelboard 480/277V (400A class),2500,$/ea,Class 1 AC,Phase 4,"Used as >2000W tier in tool"
Scope Reference (AC Full Buildout),Row 25: Dry-type transformer 480→208/120 (V48M28T7516),4500,$/ea,Class 1 AC,Phase 4,"Used directly in tool ($4,500 flat)"
Scope Reference (AC Full Buildout),Row 26: Lighting panelboard 277V (225A class),1200,$/ea,Class 1 AC,Phase 4,"Used as ≤2000W tier in tool"
Scope Reference (AC Full Buildout),Row 27: Mechanical panelboard 480/277V (225A class),1200,$/ea,Class 1 AC,Phase 4,"Reference only — downstream distribution"
Scope Reference (AC Full Buildout),Row 28: Power panelboard PP-1 208/120V (225A class),1200,$/ea,Class 1 AC,Phase 4,"Reference only — downstream distribution"
Scope Reference (AC Full Buildout),Row 29: Power panelboard PP-2 208/120V (225A class),1200,$/ea,Class 1 AC,Phase 4,"Reference only — downstream distribution"
Scope Reference (AC Full Buildout),"Row 30: Feeder main panel → transformer (primary)",15,$/ft,Class 1 AC,Phase 5,"60ft scope qty; reference only — inter-panel secondary feeder"
Scope Reference (AC Full Buildout),"Row 31: Feeder transformer → PP panels (secondary)",12,$/ft,Class 1 AC,Phase 5,"120ft scope qty; reference only — inter-panel secondary feeder"
Scope Reference (AC Full Buildout),Row 32: Feeder main panel → lighting panel,12,$/ft,Class 1 AC,Phase 5,"60ft scope qty; reference only — inter-panel secondary feeder"
Scope Reference (AC Full Buildout),Row 33: Feeder main panel → mechanical panel,12,$/ft,Class 1 AC,Phase 5,"60ft scope qty; reference only — inter-panel secondary feeder"
Scope Reference (AC Full Buildout),Row 34: Panel schedules / circuit directories,0,"$ (TBD, labor only)",Class 1 AC,Phase 5,"Tool uses 6 hrs designer labor"
Scope Reference (AC Full Buildout),Row 36: LED 2x4 troffer fixtures (PL-SMARB050KLTH),95,$/ea,Class 1 AC,Downstream,"320ea; NOT in tool — downstream load device"
Scope Reference (AC Full Buildout),Row 38: LED downlight fixtures,60,$/ea,Class 1 AC,Downstream,"80ea; NOT in tool — downstream load device"
Scope Reference (AC Full Buildout),Row 40: LED exit signs (battery),45,$/ea,Class 1 AC,Downstream,"20ea; NOT in tool — downstream life safety"
Scope Reference (AC Full Buildout),Row 42: Emergency inverter units,5000,$/ea,Class 1 AC,Downstream,"2ea; NOT in tool — downstream life safety"
Scope Reference (AC Full Buildout),Row 44: Lighting branch wiring (MC cable whips),1.50,$/ft,Class 1 AC,Downstream,"4900ft; NOT in tool — downstream branch wiring"
Scope Reference (AC Full Buildout),Row 45: Occupancy/daylight sensors,40,$/ea,Class 1 AC,Downstream,"80ea; NOT in tool — downstream controls"
Scope Reference (AC Full Buildout),Row 47: Lighting controls system hardware,8000,$ (lot),Class 1 AC,Downstream,"NOT in tool — downstream controls system"
Scope Reference (AC Full Buildout),Row 50: Floor box assemblies (25249-TFN),120,$/ea,Class 1 AC,Downstream,"100ea; NOT in tool — downstream device"
Scope Reference (AC Full Buildout),Row 53: Duplex receptacles for floor boxes,5,$/ea,Class 1 AC,Downstream,"200ea; NOT in tool — downstream device"
Scope Reference (AC Full Buildout),Row 55: Wall duplex receptacles,4,$/ea,Class 1 AC,Downstream,"150ea; NOT in tool — downstream device"
Scope Reference (AC Full Buildout),"Row 57: Branch conduit 3/4"" EMT (853429)",0.90,$/ft,Class 1 AC,Downstream,"8040ft; NOT in tool — downstream branch conduit; validates tool's ≤1000W conduit rate"
Scope Reference (AC Full Buildout),Row 58: Branch conductors (#12 hot/neutral/ground),0.25,$/ft,Class 1 AC,Downstream,"24120ft; NOT in tool — downstream branch wiring"
Scope Reference (AC Full Buildout),Row 59: 20A 1-pole breakers in PP panels,12,$/ea,Class 1 AC,Downstream,"161ea; NOT in tool — downstream branch protection"
Scope Reference (AC Full Buildout),Row 60: 30A 2-pole breakers in PP panels,30,$/ea,Class 1 AC,Downstream,"10ea; NOT in tool — downstream branch protection"
Scope Reference (AC Full Buildout),Row 62: Disconnect switches for exhaust fans,120,$/ea,Class 1 AC,Downstream,"3ea; NOT in tool — downstream mechanical disconnect"
Scope Reference (AC Full Buildout),Row 63: Disconnect switches for fan coil units,120,$/ea,Class 1 AC,Downstream,"7ea; NOT in tool — downstream mechanical disconnect"
Scope Reference (AC Full Buildout),Row 64: Branch conduit/wire to VAVs/fan coils/exhaust,0.90,$/ft,Class 1 AC,Downstream,"1800ft; NOT in tool — downstream mechanical branch"
,,,,,,
Scope Validation Notes,,,,,,
Scope Validation Notes,Tool models MDF-to-endpoint delivery only,,,All,,"Tool compares cost of delivering power from source to single endpoint/IDF. Does NOT model full floor downstream distribution."
Scope Validation Notes,AC transformer cost set to $4500 (flat),4500,$,Class 1 AC,Phase 4,"Scope Row 25 benchmark; covers range of tool (500W-6000W = sub-10kVA transformers)"
Scope Validation Notes,Core drill + firestop combined as $75/ea,75,$,Class 1 AC,Phase 3,"Scope Row 17 ($50) + Row 18 ($25) = $75/ea combined"
Scope Validation Notes,"Scope Row 57 validates conduit rate ($0.90/ft for 3/4"" EMT)",0.90,$/ft,Class 1 AC,Phase 3,"Matches tool's ≤1000W conduit tier exactly"
Scope Validation Notes,"Scope Row 14 validates feeder conduit rate ($18/ft for 4"" EMT/IMC)",18.00,$/ft,Class 1 AC,Phase 3,"Matches tool's >3500W conduit tier exactly"
Scope Validation Notes,CL4 head-end vs AC equipment cost crossover,~2500,W,AC vs CL4,Phase 4,"Below ~2500W AC equipment is significantly more expensive; above it CL4 channels multiply"
